# Numeracao;Nome;Número Temporadas;Número Episódios;Ano Lançamento;Ano_Finalização Gênero_Principal Status
1;"Shigatsu wa Kimi no Uso";1;22;2014;2015;"Drama";"Finalizado"
2;"Parasyte";1;24;2014;2015;"Acao";"Finalizado"
3;"Steins,Gate";1;24;2011;2011;"Drama";"Finalizado"
4;"Neon Genesis Evangelion";1;26;1995;1996;"Acao";"Finalizado"
5;"Violet Evergarden";1;13;2018;2018;"Drama";"Finalizado"
6;"Toradora!";1;25;2008;2009;"Romance";"Finalizado"
7;"Shokugeki no Souma";5;86;2015;2020;"Comida";"Finalizado"
8;"Shimoneta";1;12;2015;2015;"Comedia";"Finalizado"
9;"ReLIFE";2;17;2016;2018;"Romance";"Finalizado"
10;"Saiki Kusuo";2;48;2016;2018;"Comedia";"Finalizado"
11;"Rainbow";1;26;2010;2010;"Drama";"Finalizado"
12;"Paripi Koumei";1;12;2022;2022;"Comedia";"Finalizado"
13;"Prison School";1;12;2015;2015;"Comedia";"Finalizado"
14;"No Game No Life";2;13;2014;2017;"Comedia";"Finalizado"
15;"Mob Psycho 100";3;37;2016;2022;"Acao";"Finalizado"
16;"Initial D";6;82;1998;2014;"Corrida";"Finalizado"
17;"Hunter X Hunter";1;148;2011;2014;"Acao";"Finalizado"
18;"Mirai Nikki";1;26;2011;2012;"Acao";"Finalizado"
19;"Kuroko no Basket";4;76;2012;2017;"Esporte";"Finalizado"
20;"Komi-san Can't Communicate";2;24;2021;2022;"Comedia";"Finalizado"
21;"Koe no Katachi";1;1;2016;2016;"Drama";"Finalizado"
22;"Kono Suba";3;32;2017;0;"Comedia";"Em Andamento"
23;"Kiznaiver";1;12;2016;2016;"Drama";"Finalizado"
24;"Kimetsu no Yaiba";5;63;2019;0;"Acao";"Em Andamento"
25;"Kill la Kill";1;24;2013;2014;"Acao";"Finalizado"
26;"Karakai Jouzu no Takagi-san";3;36;2018;0;"Romance";"Em Andamento"
27;"Kakegurui";2;24;2017;2019;"Drama";"Finalizado"
28;"Punch Line";1;12;2015;2015;"Comedia";"Finalizado"
29;"One Punch Man";2;24;2015;0;"Comedia";"Em Andamento"
30;"Kaguya-sama wa Kokurasetai";4;40;2019;0;"Comedia";"Em Andamento"
31;"JoJo's Bizarre Adventure";6;190;2012;0;"Acao";"Em Andamento"
32;"Toilet-Bound Hanako-kun";1;12;2020;0;"Supernatural";"Em Andamento"
33;"Isekai Ojisan";1;13;2022;2023;"Comedia";"Finalizado"
34;"Inazuma Eleven";1;127;2008;2011;"Esporte";"Finalizado"
35;"Hyouka";1;22;2012;2012;"Slice of Life";"Finalizado"
36;"Horimiya";2;26;2021;2023;"Romance";"Finalizado"
37;"Highschool of the Dead";1;12;2010;2010;"Terror";"Finalizado"
38;"Hatsukoi Limited";1;13;2009;2009;"Romance";"Finalizado"
39;"Haikyuu!!";5;87;2014;2025;"Esporte";"Finalizado"
40;"Great Pretender";1;23;2020;2020;"Acao";"Finalizado"
41;"Gokushufudou";3;15;2021;2023;"Comedia";"Finalizado"
42;"Grand Blue";1;12;2018;2018;"Comedia";"Finalizado"
43;"Gleipnir";1;13;2020;2020;"Acao";"Finalizado"
44;"Gakkougurashi!";1;12;2015;2015;"Terror";"Finalizado"
45;"Fullmetal Alchemist:Brotherhood";1;64;2009;2010;"Acao";"Finalizado"
46;"Fate/Zero";2;25;2011;2012;"Acao";"Finalizado"
47;"Fate/stay night:Unlimited Blade Works";2;24;2014;2015;"Acao";"Finalizado"
48;"Fate/stay night: Heaven's Feel";3;3;2017;2020;"Acao";"Finalizado"
49;"Eromanga-sensei";1;12;2017;2017;"Comedia";"Finalizado"
50;"Dumbbell Nan Kilo Moteru";1;12;2019;2019;"Comedia";"Finalizado"
51;"Dr.Stone";4;58;2019;0;"Aventura";"Em Andamento"
52;"Dragon Ball Z";1;291;1989;1996;"Acao";"Finalizado"
53;"Dragon Ball Super";1;131;2015;2018;"Acao";"Finalizado"
54;"Dragon Ball Kai";1;97;2009;2011;"Acao";"Finalizado"
55;"Dragon Ball Classico";1;153;1986;1989;"Acao";"Finalizado"
56;"Death Parade";1;12;2015;2015;"Drama";"Finalizado"
57;"Death Note";1;37;2006;2007;"Drama";"Finalizado"
58;"Darling in the FranXX";1;24;2018;2018;"Acao";"Finalizado"
59;"Code Geass:Hangyaku no Lelouch";2;50;2006;2008;"Acao";"Finalizado"
60;"Dagashi Kashi";2;24;2016;2018;"Comedia";"Finalizado"
61;"Cyberpunk:Edgerunners";1;10;2022;2022;"Acao";"Finalizado"
62;"Clannad";2;47;2007;2009;"Drama";"Finalizado"
63;"Chuunibyou demo Koi ga Shitai!";3;25;2012;2018;"Comedia";"Finalizado"
64;"Boku wa Tomodachi ga Sukunai";2;24;2011;2013;"Comedia";"Finalizado"
65;"Boku no Kokoro no Yabai Yatsu";2;24;2023;0;"Romance";"Em Andamento"
66;"Boku no Hero Academy";7;159;2016;0;"Acao";"Em Andamento"
67;"Boku dake ga Inai Machi";1;12;2016;2016;"Drama";"Finalizado"
68;"Bocchi the Rock!";1;12;2022;2022;"Comedia";"Finalizado"
69;"BNA";1;12;2020;2020;"Acao";"Finalizado"
70;"Blue Period";1;12;2021;2021;"Drama";"Finalizado"
71;"Blend S";1;12;2017;2017;"Comedia";"Finalizado"
72;"Ansatsu Kyoushitsu";2;47;2015;2016;"Acao";"Finalizado"
73;"Angel Beats!";1;13;2010;2010;"Drama";"Finalizado"
74;"Akudama Drive";1;12;2020;2020;"Acao";"Finalizado"
75;"86";2;24;2021;0;"Acao";"Em Andamento"
76;"5-toubun no Hanayome";3;25;2019;2022;"Comedia";"Finalizado"
77;"Akame ga Kill!";1;24;2014;2014;"Acao";"Finalizado"
78;"Cowboy Bebop";1;26;1998;1999;"Acao";"Finalizado"
79;"Sousou no Frieren";1;28;2023;2024;"Aventura";"Finalizado"
80;"Monster";1;74;2004;2005;"Drama";"Finalizado"
81;"Yuru Camp";3;37;2018;2024;"Slice of Life";"Finalizado"
82;"Gurren Lagann";1;27;2007;2007;"Acao";"Finalizado"
83;"Hajime no Ippo";5;128;2000;2014;"Esporte";"Finalizado"
84;"Great Teacher Onizuka";1;43;1999;2000;"Comedia";"Finalizado"
85;"Kimi no Na wa";1;1;2016;2016;"Drama";"Finalizado"
86;"Sword Art Online";3;96;2012;0;"Acao";"Em Andamento"
87;"Re:Zero";2;50;2016;0;"Drama";"Em Andamento"
88;"Ao no Exorcist";2;49;2011;0;"Acao";"Em Andamento"
89;"Tonari no Totoro";1;1;1988;1988;"Aventura";"Finalizado"
90;"Howl no Ugoku Shiro";1;1;2004;2004;"Aventura";"Finalizado"
91;"Ponyo";1;1;2008;2008;"Aventura";"Finalizado"
92;"Majo no Takkyuubin";1;1;1989;1989;"Aventura";"Finalizado"
93;"Kaze Tachinu";1;1;2013;2013;"Drama";"Finalizado"
94;"Kimitachi wa Dou Ikiru ka";1;1;2023;2023;"Aventura";"Finalizado"
95;"Omoide no Marnie";1;1;2014;2014;"Drama";"Finalizado"
96;"Sen to Chihiro no Kamikakushi";1;1;2001;2001;"Aventura";"Finalizado"
97;"Mononoke Hime";1;1;1997;1997;"Acao";"Finalizado"
98;"Tokyo Ghoul";4;48;2014;2018;"Acao";"Finalizado"
99;"Btooom!";1;12;2012;2012;"Acao";"Finalizado"
100;"Akira";1;1;1988;1988;"Acao";"Finalizado"
101;"Fruits Basket";3;63;2019;2021;"Drama";"Finalizado"
102;"Oshi No Ko";1;24;2023;0;"Drama";"Em Andamento"
103;"InuYasha";2;193;2000;2010;"Acao";"Finalizado"
104;"Hanyou no Yashahime";2;48;2021;2022;"Acao";"Finalizado"
105;"Fire Force";2;48;2019;0;"Acao";"Em Andamento"
106;"Mushoku Tensei";2;47;2021;0;"Aventura";"Em Andamento"
107;"Another";1;12;2012;2012;"Terror";"Finalizado"
108;"Black Clover";1;170;2017;0;"Acao";"Em Andamento"
109;"Chainsaw Man";1;12;2022;0;"Acao";"Em Andamento"
110;"Burn The Witch";1;3;2020;2020;"Acao";"Finalizado"
111;"Hellsing";1;13;2001;2002;"Acao";"Finalizado"
112;"NieR:Automata";2;24;2023;0;"Acao";"Em Andamento"
113;"Nisekoi";2;32;2014;2015;"Comedia";"Finalizado"
114;"Yofukashi no Uta";1;12;2022;0;"Supernatural";"Em Andamento"
115;"Naruto";1;220;2002;2007;"Acao";"Finalizado"
116;"Naruto:Shippuuden";1;500;2007;2017;"Acao";"Finalizado"
117;"Boruto";1;293;2017;2023;"Acao";"Finalizado"
118;"Blue Lock";1;38;2022;0;"Esporte";"Em Andamento"
